id;ligne;titre;date;artiste;lieu;image;tags;largeur;hauteur;octets
commode-transition-de-madame-du-barry_1772;68;Commode Transition de madame du Barry;1772;Martin Carlin, Simon-Philippe Poirier;Louvre;commode-transition-de-madame-du-barry_1772.jpg;Mobilier, Commode, Transition, bronze, porcelaine;711;550;82161
le-dejeuner_1739;69;Le déjeuner;1739;François Boucher;Louvre;le-dejeuner_1739.jpg;Peinture, Huile Scène de genre, Rocaille, Orient;1136;1400;251537
triomphe-de-venus_1740;70;triomphe de Vénus;1740;François Boucher;musée des beaux-arts de stockholm;triomphe-de-venus_1740.jpg;Peinture, Huile, Histoire, Rocaille,;1400;1117;244168
un-automne-pastoral_1749;71;Un automne pastoral;1749;François Boucher;The Wallace Collection;un-automne-pastoral_1749.jpg;Peinture, Huile, Rocaille, Scène de genre;611;840;100797
le-repas-de-l-empereur-de-chine_1742;72;Le repas de l’empereur de Chine;1742;François Boucher;Musée des beaux-art de Besançon;le-repas-de-l-empereur-de-chine_1742.jpg;Tapisserie, Orient, Huile, peinture;1024;643;89798
odalisque-brune_1745;73;Odalisque brune;1745;François Boucher;Louvre;odalisque-brune_1745.jpg;Orient, Huile, peinture, Rocaille, portrait;828;640;69205
portrait-de-madame-de-pompadour_1756;74;portrait de madame de Pompadour;1756;François Boucher;Alte Pinakothek, Munich;portrait-de-madame-de-pompadour_1756.jpg;Huile, peinture, Rocaille, portrait;395;506;37542
salon-ovale-de-l-hotel-de-rohan-soubise_1737-1740;75;Salon ovale de l’Hôtel de Rohan-Soubise;1737-1740;Germain Boffrand;Paris;salon-ovale-de-l-hotel-de-rohan-soubise_1737-1740.jpg;Huile, peinture, Rocaille, architecture;533;800;102368
la-maison-chinoise-du-chateau-de-sanssouci_1754-1764;76;La Maison chinoise du château de Sanssouci;1754-1764;Johann Gottfried Büring;Potsdam Prusse;la-maison-chinoise-du-chateau-de-sanssouci_1754-1764.jpg;Architecture, Orient, Rocaille;1200;900;261701
eglise-de-pelerinage_1745-54;77;Église de pèlerinage;1745-54;Zimmermann;Wies;eglise-de-pelerinage_1745-54.jpg;Architecture, Orient, Rocaille, fresque;865;1400;370613
le-verrou_1777;78;Le Verrou;1777;Jean Honoré Fragonard;Louvre;le-verrou_1777.jpg;Scène de genre, peinture, Huile, Rocaille, baroque;1280;1000;235331
le-feu-aux-poudres_1765;79;Le feu aux poudres;1765;Jean Honoré Fragonard;Louvre;le-feu-aux-poudres_1765.jpg;Scène de genre, peinture, Huile, Rocaille,;1400;1178;400741
portrait-de-l-abbe-saint-non_1769;80;portrait de l’abbé Saint-non;1769;Jean Honoré Fragonard;musée jacquemart andré;portrait-de-l-abbe-saint-non_1769.jpg;Portrait, peinture, Huile, Rocaille,;744;926;128906
combat-de-mars-contre-minerve_1771;81;Combat de Mars contre Minerve;1771;Jacques-Louis David;Louvre;combat-de-mars-contre-minerve_1771.jpg;Histoire, peinture, Huile, Rocaille;800;615;108415
